Marque,Modèle,road,year,boite,transmission,horsepower,fuel,Prix
Volkswagen,T-roc Toit ouvrant,44 000 km,2020,Manuelle,Propulsion,6 cv,Essence,98 000
Mercedes-Benz,Classe C AMG,180 000 km,2016,Automatique,Propulsion,8 cv,Essence,99 500
Mercedes-Benz,GLB AMG,16 000 km,2023,Automatique,Traction,9 cv,Essence,184 000
Mercedes-Benz,Classe E AMG,0 km,2024,Automatique,Intégrale,10 cv,Hybride,435 000
Mercedes-Benz,Classe C AMG,175 000 km,2016,Automatique,Propulsion,8 cv,Essence,109 000
BMW,Série 5 Luxury Line,155 000 km,2017,Automatique,Propulsion,10 cv,Essence,124 500
Mercedes-Benz,Classe A A200,8 000 km,2024,Automatique,Traction,8 cv,Hybride,169 000
KIA,Sportage GT-Line,40 000 km,2023,Automatique,Intégrale,10 cv,Hybride,149 000
Land,Rover Range Rover Velar R-Dynamic,33 000 km,2019,Automatique,Intégrale,17 cv,Essence,268 000
BMW,Série 7 B7 ALPINA,115 000 km,2011,Automatique,Propulsion,17 cv,Essence,158 000
Volkswagen,Golf 8 ÉDITION,45 000 km,2021,Manuelle,Traction,6 cv,Essence,89 500
Mercedes-Benz,Classe E AMG,0 km,2024,Automatique,Intégrale,10 cv,Hybride,450 000
Mercedes-Benz,GLC Coupé AMG,0 km,2024,Automatique,Intégrale,11 cv,Essence,415 000
Mercedes-Benz,CLA AMG,42 000 km,2020,Automatique,Traction,8 cv,Hybride,169 000
Audi,Q5 Sportback S-Line,45 000 km,2022,Automatique,Intégrale,17 cv,Hybride,295 000
Mercedes-Benz,Classe A A 200,57 000 km,2018,Automatique,Traction,9 cv,Essence,124 000
Mercedes-Benz,CLA AMG,30 000 km,2023,Automatique,Traction,7 cv,Essence,188 000
Land,Rover Range Rover Sport,180 000 km,2014,Automatique,Traction,24 cv,Essence,178 000
Porsche,Panamera 4S E-hybride plugin,32 000 km,2021,Automatique,Intégrale,33 cv,Hybride,535 000
Mercedes-Benz,GLC Coupé AMG,106 000 km,2016,Automatique,Intégrale,13 cv,Essence,225 000
Audi,Q3 Sportback hybrid,50 000 km,2021,Automatique,Traction,8 cv,Hybride,175 000
Porsche,Cayenne Coupé,37 000 km,2020,Automatique,Intégrale,23 cv,Essence,380 000
Jaguar,F-Pace R-Dynamic S,27 000 km,2021,Automatique,Intégrale,16 cv,Essence,269 000
BMW,X1 FACELIFT PACK M,87 000 km,2020,Automatique,Traction,8 cv,Essence,129 000
Fiat,500 Cult Club,105 000 km,2013,Manuelle,Traction,4 cv,Essence,34 500
Audi,A3,78 000 km,2019,Manuelle,Traction,6 cv,Essence,78 000
Renault,Clio,133 000 km,2020,Manuelle,Traction,4 cv,Essence,48 500
Peugeot,3008,87 000 km,2019,Automatique,Traction,7 cv,Essence,82 000
Suzuki,Swift,127 000 km,2017,Manuelle,Traction,5 cv,Essence,33 000
Peugeot,307,110 451 km,2007,Manuelle,Traction,8 cv,Essence,25 500
Mercedes-Benz,Classe A AMG,96 000 km,2019,Automatique,Traction,6 cv,Diesel,118 000
Mini,Countryman All4,33 000 km,2020,Automatique,Traction,5 cv,Hybride,139 500
Volkswagen,Jetta Highline,139 000 km,2009,Automatique,Traction,7 cv,Essence,34 500
Peugeot,3008 Allure,75 000 km,2020,Automatique,Traction,6 cv,Essence,75 000
Mahindra,KUV 100,60 200 km,2019,Manuelle,Traction,5 cv,Essence,32 000
Audi,A3 Sportback,222 000 km,2010,Manuelle,Traction,5 cv,Diesel,40 000
Land,Rover Range Rover Evoque R-Dynamic,83 000 km,2020,Automatique,Traction,14 cv,Hybride,195 000
Mercedes-Benz,GLC Coupé AMG,0 km,2024,Automatique,Intégrale,15 cv,Essence,420 000
Mercedes-Benz,Classe C Avantgarde,200 000 km,2014,Automatique,Traction,7 cv,Essence,105 000
Ssangyong,Tivoli Confort Plus,4 700 km,2018,Automatique,Propulsion,7 cv,Essence,65 000
Mini,3 portes John Cooper Works,100 000 km,2017,Automatique,Propulsion,5 cv,Essence,63 000
Toyota,Hilux Double Cabine D4D,140 000 km,2020,Automatique,Intégrale,8 cv,Diesel,168 000
Land,Rover Range Rover Evoque HSE,60 000 km,2022,Automatique,Traction,11 cv,Hybride,255 000
Mercedes-Benz,Classe A Berline AMG,100 000 km,2020,Automatique,Traction,6 cv,Essence,132 000
Land,Rover Range Rover Sport Autobiography,60 000 km,2021,Automatique,Intégrale,19 cv,Hybride,385 000
Mercedes-Benz,CLA AMG,0 km,2024,Automatique,Traction,8 cv,Essence,220 000
Porsche,Cayenne Coupé GTS,70 000 km,2020,Automatique,Traction,22 cv,Hybride,480 000
Mercedes-Benz,GLE Coupé,30 000 km,2022,Automatique,Traction,12 cv,Hybride,450 000
Mercedes-Benz,Classe E AMG,70 000 km,2020,Automatique,Traction,12 cv,Hybride,260 000
Mercedes-Benz,GLC Coupé AMG,80 000 km,2021,Automatique,Intégrale,11 cv,Hybride,270 000
BMW,Série 4 Gran Coupé KIT-M-individual,120 000 km,2016,Automatique,Traction,10 cv,Essence,145 000
Mercedes-Benz,CLA,130 000 km,2017,Automatique,Traction,6 cv,Diesel,115 000
Audi,A3 Sportback 1.5,900 km,2023,Automatique,Intégrale,8 cv,Hybride,145 000
Fiat,Panda City Cross,70 000 km,2020,Manuelle,Traction,4 cv,Essence,41 000
Great,Wall M4,100 000 km,2018,Manuelle,Traction,7 cv,Essence,41 000
Mercedes-Benz,Classe C coupé AMG,86 000 km,2019,Automatique,Traction,10 cv,Hybride,178 000
Land,Rover Range Rover Evoque R-Dynamic,150 000 km,2016,Automatique,Propulsion,10 cv,Diesel,122 000
BMW,Série 4 Gran Coupé,90 000 km,2019,Automatique,Traction,7 cv,Essence,145 000
Mercedes-Benz,GLA AMG,20 000 km,2023,Automatique,Traction,7 cv,Essence,189 000
Land,Rover Range Rover Velar R-Dynamic,55 000 km,2020,Automatique,Propulsion,10 cv,Diesel,258 000
Hyundai,Kona Hybride N Line,19 500 km,2020,Automatique,Intégrale,6 cv,Hybride,97 500
Audi,Q3,110 000 km,2019,Automatique,Propulsion,9 cv,Essence,112 000
Porsche,Cayenne,195 000 km,2012,Automatique,Propulsion,21 cv,Essence,152 000
Mercedes-Benz,Classe S S 350 phase 2,165 000 km,2010,Automatique,Traction,18 cv,Essence,122 000
Mercedes-Benz,Classe C AMG,135 000 km,2019,Automatique,Traction,8 cv,Essence,Sous leasing                    161 300
MG,HS Trophy,35 000 km,2021,Automatique,Traction,15 cv,Essence,103 000
Volkswagen,Golf 7 Join,83 000 km,2018,Manuelle,Propulsion,4 cv,Essence,72 000
Mercedes-Benz,Classe S S350. Toit ouvrant,147 000 km,2009,Automatique,Traction,19 cv,Essence,98 000
KIA,Rio 5p SX Plus,79 000 km,2020,Manuelle,Traction,5 cv,Essence,58 000
Hyundai,Grand i10,82 000 km,2022,Manuelle,Traction,4 cv,Essence,42 000
Mercedes-Benz,Classe C,301 000 km,2012,Automatique,Traction,9 cv,Essence,62 000
Mercedes-Benz,Classe A,135 000 km,2012,Automatique,Traction,6 cv,Essence,59 500
Hyundai,Grand i10,79 000 km,2021,Manuelle,Traction,5 cv,Essence,42 900
Mercedes-Benz,Classe C,172 000 km,2018,Automatique,Traction,8 cv,Essence,105 000
KIA,Optima,206 000 km,2012,Automatique,Traction,10 cv,Essence,44 000
KIA,Rio Berline,87 000 km,2017,Manuelle,Traction,5 cv,Essence,44 500
BMW,X6,146 000 km,2008,Automatique,Traction,22 cv,Essence,65 000
Ford,Ranger Raptor,57 000 km,2022,Automatique,Traction,7 cv,Diesel,235 000
Volkswagen,Golf 7,307 000 km,2013,Automatique,Traction,6 cv,Essence,38 500
BMW,Série 5 Luxury,58 000 km,2022,Automatique,Traction,10 cv,Hybride,236 500
Haval,H6,73 000 km,2020,Automatique,Traction,9 cv,Essence,75 000
Citroën,C4,195 000 km,2014,Manuelle,Traction,6 cv,Essence,29 500
Hyundai,Tucson Hybride,109 000 km,2021,Automatique,Traction,7 cv,Hybride,120 000
Citroën,C3 Live,94 000 km,2017,Automatique,Traction,6 cv,Essence,41 000
Honda,City,89 000 km,2021,Automatique,Traction,7 cv,Essence,49 500
KIA,Picanto GT-Line,111 000 km,2019,Automatique,Traction,5 cv,Essence,41 900
Fiat,500,170 000 km,2011,Manuelle,Traction,4 cv,Essence,26 000
Nissan,Juke Tekna,125 000 km,2015,Automatique,Traction,7 cv,Essence,48 500
Fiat,Siena,300 000 km,2004,Manuelle,Traction,5 cv,Essence,18 500
Seat,Leon SC Référence,70 000 km,2016,Manuelle,Traction,6 cv,Essence,49 500
Jeep,Grand Cherokee,132 000 km,2016,Automatique,Traction,20 cv,Essence,180 000
MG,ZS Luxe,96 000 km,2020,Automatique,Traction,7 cv,Essence,65 000
KIA,Rio 5p,143 000 km,2016,Manuelle,Traction,5 cv,Essence,40 900
Audi,Q2,78 000 km,2018,Automatique,Traction,7 cv,Essence,104 900
Volkswagen,Polo,144 000 km,2006,Manuelle,Traction,4 cv,Essence,21 900
Citroën,C3,192 000 km,2011,Manuelle,Traction,5 cv,Essence,27 500
Volkswagen,Polo 8,112 000 km,2022,Manuelle,Traction,4 cv,Essence,44 900
Peugeot,301,195 000 km,2018,Manuelle,Traction,5 cv,Essence,25 500
Peugeot,208,11 000 km,2020,Manuelle,Traction,4 cv,Essence,39 000
Ford,Fiesta Titanium Red Candy,140 000 km,2015,Manuelle,Traction,5 cv,Essence,33 500
Fiat,Grande Punto,166 000 km,2010,Manuelle,Traction,5 cv,Essence,18 900
Hyundai,H-1,224 000 km,2002,Manuelle,Traction,8 cv,Diesel,23 000
Peugeot,208,37 000 km,2022,Manuelle,Traction,4 cv,Essence,45 500
Mercedes-Benz,ML,240 000 km,2009,Automatique,Traction,15 cv,Diesel,80 000
KIA,Sportage GT-Line,143 000 km,2016,Automatique,Traction,10 cv,Diesel,97 000
Chery,Tiggo 3X,74 000 km,2022,Automatique,Traction,6 cv,Essence,54 500
Mazda,BT-50,154 000 km,2019,Manuelle,Traction,9 cv,Diesel,65 000
BMW,Série 3 F30 Pack Modern,139 000 km,2012,Automatique,Traction,10 cv,Essence,61 500
Chevrolet,Groove Premier,6 500 km,2024,Automatique,Traction,6 cv,Essence,76 500
Seat,Ibiza,1 300 km,2024,Automatique,Traction,6 cv,Essence,77 500
Suzuki,Swift,14 000 km,2023,Automatique,Traction,5 cv,Essence,52 000
MG,5 Luxe,26 000 km,2022,Automatique,Traction,7 cv,Essence,70 000
Seat,Ibiza,124 000 km,2018,Manuelle,Traction,4 cv,Essence,42 500
Volkswagen,Caddy,85 000 km,2016,Manuelle,Traction,5 cv,Diesel,41 500
Citroën,C4,199 000 km,2013,Manuelle,Traction,6 cv,Essence,31 900
Land,Rover Range Rover Sport,184 000 km,2008,Automatique,Traction,13 cv,Diesel,79 000
Citroën,C3,115 000 km,2011,Manuelle,Traction,5 cv,Essence,27 500
MG,3 Confort Plus,12 000 km,2024,Manuelle,Traction,6 cv,Essence,59 000
Hyundai,Autre H350 Solati,26 000 km,2021,Manuelle,Traction,8 cv,Diesel,72 000
Volkswagen,Caddy,38 000 km,2022,Manuelle,Traction,7 cv,Diesel,68 000
Ford,Fusion,146 000 km,2016,Manuelle,Traction,9 cv,Essence,45 000
Mercedes-Benz,ML,283 000 km,2006,Automatique,Traction,15 cv,Diesel,38 000
Toyota,Prado,330 000 km,2002,Manuelle,Traction,11 cv,Diesel,53 000
Peugeot,207,290 000 km,2011,Manuelle,Traction,6 cv,Diesel,27 500
Seat,Leon,159 000 km,2020,Manuelle,Traction,6 cv,Essence,64 500
Mercedes-Benz,Classe A,174 000 km,2014,Manuelle,Traction,6 cv,Essence,56 000
Citroën,C4 Cactus,146 000 km,2019,Manuelle,Traction,5 cv,Diesel,58 000
Suzuki,Swift,139 000 km,2018,Automatique,Traction,5 cv,Essence,39 000
Infiniti,FX 35,182 000 km,2008,Automatique,Traction,20 cv,Essence,43 000
Land,Rover Range Rover Sport HSE,200 000 km,2009,Automatique,Traction,13 cv,Diesel,85 000
Chery,Tiggo 2 Confort,135 000 km,2020,Manuelle,Traction,6 cv,Essence,41 000
Geely,GC6,77 000 km,2021,Manuelle,Traction,6 cv,Essence,35 000
Citroën,Jumpy Fourgon,183 000 km,2015,Manuelle,Traction,6 cv,Diesel,38 000
Volkswagen,Golf 6,262 000 km,2010,Manuelle,Traction,7 cv,Essence,34 000
Fiat,Strada,228 000 km,2001,Manuelle,Traction,7 cv,Diesel,24 000
Toyota,Hilux Double Cabine,214 000 km,2018,Manuelle,Traction,8 cv,Diesel,125 000
Nissan,Qashqai,141 000 km,2017,Automatique,Traction,6 cv,Essence,74 900
Ford,Fiesta Ghia,260 000 km,2008,Manuelle,Traction,5 cv,Essence,24 500
Peugeot,2008 Allure Toit Cielo,75 000 km,2018,Manuelle,Traction,5 cv,Essence,48 000
Ford,Ranger Double Cabine XLT,70 000 km,2020,Automatique,Traction,7 cv,Diesel,150 000
Volkswagen,Passat,212 000 km,2007,Manuelle,Traction,7 cv,Essence,28 000
Hyundai,Grand i10,97 000 km,2020,Automatique,Traction,4 cv,Essence,41 500
KIA,Sportage,150 000 km,2018,Automatique,Traction,8 cv,Essence,76 000
BMW,Série 3 coupé,232 000 km,2009,Manuelle,Traction,7 cv,Essence,39 900
Volkswagen,Polo 7,316 000 km,2011,Manuelle,Traction,4 cv,Diesel,31 900
Volkswagen,Golf Plus Sportsvan Join,72 000 km,2018,Manuelle,Traction,6 cv,Essence,79 000
Land,Rover Defender 110 LXV,115 000 km,2014,Manuelle,Traction,8 cv,Diesel,200 000
Mazda,3 sedan,147 000 km,2018,Manuelle,Traction,6 cv,Essence,52 000
Ford,Focus Ecoboost,227 000 km,2016,Manuelle,Traction,6 cv,Essence,36 000
Mercedes-Benz,Classe E,252 000 km,2017,Automatique,Traction,9 cv,Essence,110 000
BMW,Série 7 X-Drive,200 000 km,2012,Automatique,Traction,20 cv,Diesel,155 500
Nissan,Qashqai,285 000 km,2011,Manuelle,Traction,6 cv,Diesel,39 500
Toyota,C-HR,77 000 km,2020,Automatique,Traction,6 cv,Essence,88 000
Renault,Clio Life Plus,149 000 km,2021,Manuelle,Traction,5 cv,Essence,43 900
Mercedes-Benz,ML,237 000 km,2006,Automatique,Traction,15 cv,Diesel,56 000
Volkswagen,Golf 7 Cup,139 000 km,2015,Automatique,Traction,7 cv,Essence,59 900
Mahindra,KUV 100 K8,79 000 km,2022,Manuelle,Traction,5 cv,Essence,36 000
Mazda,CX-7,165 000 km,2009,Automatique,Traction,18 cv,Essence,45 000
Mazda,CX-9 High grade,169 000 km,2019,Automatique,Traction,15 cv,Essence,98 000
Seat,Leon Style,96 000 km,2014,Automatique,Traction,6 cv,Essence,53 000
KIA,Picanto,91 000 km,2021,Automatique,Traction,5 cv,Essence,45 000
Volkswagen,Golf 7,175 000 km,2014,Manuelle,Traction,5 cv,Essence,47 000
BMW,Série 3,241 000 km,2008,Manuelle,Traction,7 cv,Essence,41 000
Renault,Clio,47 000 km,2020,Manuelle,Traction,4 cv,Essence,44 000
Mercedes-Benz,Classe C,146 000 km,2017,Automatique,Traction,8 cv,Essence,130 000
Skoda,Octavia,174 000 km,2016,Automatique,Traction,8 cv,Essence,51 000
Nissan,Juke Tekna,5 000 km,2024,Automatique,Traction,6 cv,Essence,95 000
Mercedes-Benz,Classe E,37 000 km,2021,Automatique,Traction,10 cv,Hybride,260 000
Hyundai,Grand i10 High Grade,1 000 km,2024,Automatique,Traction,5 cv,Essence,63 900
Skoda,Scala,94 000 km,2021,Automatique,Traction,6 cv,Essence,64 000
Mitsubishi,L200 Sportero Double Cabine,60 000 km,2022,Automatique,Traction,8 cv,Diesel,130 000
Audi,A6,117 000 km,2015,Automatique,Traction,10 cv,Essence,99 500
Seat,Ibiza,87 000 km,2020,Manuelle,Traction,6 cv,Essence,63 500
Ssangyong,Tivoli,83 000 km,2018,Manuelle,Traction,7 cv,Essence,50 000
Mini,Countryman,179 000 km,2010,Manuelle,Traction,6 cv,Essence,41 000
Audi,A4,141 000 km,2017,Automatique,Traction,8 cv,Essence,85 000
Jeep,Cherokee,297 000 km,2015,Automatique,Traction,10 cv,Diesel,80 000
Porsche,Panamera,192 000 km,2009,Automatique,Traction,30 cv,Essence,165 000
Mercedes-Benz,Classe S,112 000 km,2007,Automatique,Traction,19 cv,Essence,78 000
BMW,Série 5,135 000 km,2018,Automatique,Traction,10 cv,Essence,134 000
Mercedes-Benz,Classe E coupé,194 000 km,2009,Automatique,Traction,12 cv,Essence,49 500
KIA,Rio 5p,69 000 km,2019,Manuelle,Traction,5 cv,Essence,43 000
Dongfeng,AX4,33 000 km,2022,Manuelle,Traction,7 cv,Essence,59 500
Chevrolet,Sonic LS,89 000 km,2021,Manuelle,Traction,5 cv,Essence,41 000
Porsche,Panamera,150 000 km,2010,Automatique,Traction,30 cv,Essence,185 000
Peugeot,3008,131 000 km,2017,Manuelle,Traction,7 cv,Essence,62 000
Foton,Forland Aumark C6514,35 000 km,2016,Manuelle,Traction,10 cv,Diesel,55 000
Chery,Tiggo 7 Pro,60 000 km,2021,Automatique,Traction,9 cv,Essence,75 000
Citroën,C4 Cactus,142 000 km,2015,Manuelle,Traction,5 cv,Essence,37 500
Nissan,Qashqai Tekna,95 000 km,2016,Manuelle,Traction,6 cv,Essence,63 500
BMW,X5,283 000 km,2007,Automatique,Traction,15 cv,Diesel,68 500
Citroën,C4 Picasso,270 000 km,2011,Automatique,Traction,6 cv,Diesel,39 900
Volkswagen,Passat,181 000 km,2012,Automatique,Traction,9 cv,Essence,44 500
DFSK,K02S,99 000 km,2019,Manuelle,Traction,6 cv,Essence,18 500
Citroën,C3,156 000 km,2020,Manuelle,Traction,4 cv,Essence,36 000
Mercedes-Benz,Classe E,189 000 km,2009,Automatique,Traction,11 cv,Diesel,63 900
Audi,Q3 Sportback,122 000 km,2021,Automatique,Traction,9 cv,Essence,152 000
Volkswagen,Golf 7,181 000 km,2019,Automatique,Traction,6 cv,Essence,56 000
Haval,Jolion,24 000 km,2023,Automatique,Traction,9 cv,Essence,93 500
MG,ZS,32 000 km,2022,Manuelle,Traction,7 cv,Essence,69 500
Suzuki,Vitara GLX SR,183 000 km,2017,Automatique,Traction,6 cv,Essence,59 000
Peugeot,301 Allure,93 000 km,2014,Manuelle,Traction,5 cv,Essence,27 500
Volkswagen,Jetta,171 000 km,2018,Manuelle,Traction,7 cv,Essence,56 900
Mercedes-Benz,CLA,191 000 km,2013,Automatique,Traction,8 cv,Essence,77 500
Isuzu,D-Max Double Cabine,244 000 km,2013,Manuelle,Traction,8 cv,Diesel,115 000
Volkswagen,Golf 7,54 000 km,2015,Manuelle,Traction,5 cv,Essence,58 000
Hyundai,Grand i10,43 000 km,2021,Manuelle,Traction,4 cv,Essence,41 900
Renault,Clio 4,90 000 km,2020,Manuelle,Traction,5 cv,Essence,44 000
Jaguar,XJL,51 000 km,2014,Automatique,Traction,16 cv,Essence,130 000
Haval,H6,12 000 km,2023,Automatique,Traction,8 cv,Essence,125 000
Porsche,Cayenne,184 000 km,2008,Automatique,Traction,21 cv,Essence,85 000
Nissan,Patrol,417 000 km,1991,Manuelle,Traction,17 cv,Diesel,32 000
Peugeot,2008 Allure,60 000 km,2016,Manuelle,Traction,5 cv,Essence,45 000
Mahindra,Pick-up SC,62 000 km,2023,Manuelle,Traction,7 cv,Diesel,45 000
Porsche,Cayenne,206 000 km,2010,Automatique,Traction,21 cv,Essence,115 000
Land,Rover Range Rover Velar R-Dynamic,60 000 km,2019,Automatique,Traction,11 cv,Diesel,330 000
Mercedes-Benz,CLA,36 000 km,2022,Automatique,Traction,7 cv,Essence,Sous leasing                    185 400
BMW,Série 5,197 000 km,2012,Automatique,Traction,10 cv,Essence,79 900
Ford,Ecosport,101 000 km,2016,Automatique,Traction,6 cv,Essence,59 500
Toyota,Land Cruiser 79 LX,174 000 km,2016,Manuelle,Traction,17 cv,Diesel,115 000
Renault,Megane,93 000 km,2020,Manuelle,Traction,5 cv,Diesel,58 000
Hyundai,i20,132 000 km,2016,Manuelle,Traction,5 cv,Essence,43 000
Peugeot,Partner,113 000 km,2018,Manuelle,Traction,5 cv,Diesel,39 500
Hyundai,i20 GLS,68 000 km,2021,Manuelle,Traction,5 cv,Essence,52 900
Ford,Ka,185 000 km,2010,Manuelle,Traction,4 cv,Essence,21 900
Volkswagen,Golf 7,289 000 km,2013,Manuelle,Traction,7 cv,Essence,52 000
Seat,Tarraco FR,13 000 km,2024,Automatique,Traction,9 cv,Essence,159 000
Ford,Ecosport Titanium,99 000 km,2021,Automatique,Traction,7 cv,Essence,67 000
KIA,Optima,176 000 km,2014,Automatique,Traction,10 cv,Essence,45 500
Toyota,Prado,56 000 km,2014,Manuelle,Traction,11 cv,Essence,195 000
Audi,A5 Sportback,131 000 km,2019,Automatique,Traction,8 cv,Essence,115 000
Chery,Tiggo 3X Luxury,56 000 km,2022,Automatique,Traction,6 cv,Essence,55 000
Volkswagen,Tiguan R-Line,104 000 km,2018,Automatique,Traction,8 cv,Essence,117 000
BMW,X5,159 000 km,2010,Automatique,Traction,19 cv,Diesel,86 000
