Brand,Model,Price,0-100 Km/h,4 roues directrices,ABS,Accoudoirs,Affichage tête haute,Aide au démarrage en côte,Aide au maintien dans la voie,Aide au stationnement,Aileron arrière,Airbags,Alarme antivol,Alerte de circulation transversale,Alerte de franchissement de ligne,Alimentation électrique,Allumage automatique des feux,Anti-démarrage électronique,Anti-patinage,Antibrouillards,Appuis têtes arrières,Arceau de benne,Assistance au freinage,Assistant de feux de route,Autonomie électrique (NEDC),Autonomie électrique (WLTP),Autoradio,Baguettes extérieures d'encadrement des vitres,Barre stabilisatrice,Barres de toit,Batterie,Boule d'attelage,Boulons de roues protégés,Bouton Start & Stop,Boîte,Boîte à gants réfrigérée,Calandre,Caméra d'angle mort,Capot moteur actif,Carrosserie,Carte mains libres,Charge utile,Ciel de pavillon,Climatisation,Cloison entre cabine et compartiment arrière,Clé intelligente,Coffre à bagages,Conduite autonome,Connectivité,Consommation extra-urbaine,Consommation mixte,Consommation urbaine,Consommation électrique (WLTP),Contrôle adaptatif de la charge,Contrôle de pression des pneus,Contrôle de stabilité anti-retournement,Contrôle du roulis de la remorque,Couple,Couple électrique,Cylindrée,DSC,Différentiel autobloquant,Direction assistée,Disponibilité,Dynamic Response,Détecteur de fatigue,Détecteur de pluie,Détection des piétons,Ecran central,Eléments extérieurs couleur carrosserie,Emissions de CO2,Energie,Fermeture assistée des portes,Fermeture centralisée,Feux à LED,Finition intérieure,Fixations ISOFIX,Frein de stationnement,Freinage,Garantie,Hauteur,Instrumentation digitale,Jantes,Kit carrosserie,Kit fumeurs,Kit rangement,Kit sécurité,Kit éclairage,Largeur,Lave Phares,Limiteur de vitesse,Longueur,Lumières d'ambiance,Marchepieds latéraux,Modes de conduite,Navigation,Nombre de cylindres,Nombre de moteurs électriques,Nombre de places,Nombre de portes,Nombre de rapports,Ordinateur de bord,Pack Sport Chrono,Pack aérodynamique M,Peinture,Phares,Pneumatiques runflat,Poignées de portes,Pommeau de levier de vitesse,Porte bagages,Préparation pour téléphone,Puissance (ch.din),Puissance avec overboost (ch.din),Puissance fiscale,Puissance thermique (ch.din),Puissance électrique,Pédaliers,Reconnaissance des panneaux,Rideau de benne,Régulateur de vitesse,Rétroviseur intérieur,Rétroviseurs extérieurs,Sellerie,Seuils de portes,Sièges,Sièges réglables en hauteur,Sorties d’échappement,Spoiler arrière,Stores pare-soleil,Surface de chargement,Surveillance d’angle mort,Suspension,Système Start & Stop,Système de descente en côte,Système de récupération d'énergie,Tableau de bord,Tapis de sol,Temps de recharge normale,Temps de recharge rapide,Terrain Response,Toit,Train roulant,Transmission,Version pays chauds,Vitesse maxi,Vitres,Vitres électriques,Voiture populaire,Volant,Volant réglable,Volume du coffre,Volume du coffre avant,Volume du coffre maximal,Volume utile
bmw,i4 edrive40-business-line#specs,236 900DTTTC,5.6s,,,Avant | Arrière,,,,Radar de recul | Radar avant | Caméra de recul | Parkassist | Park distance control,,Frontaux | Latéraux | Rideaux,,,,1 prise 12 V,,,,,,,,,,573km,Commandes au volant,Alu satiné,,,81.1kWh,,,Démarrage mains libres,Automatique,,,,,Berline,,,M anthracite,Automatique | 3 zones,,Accès mains libres,Ouverture et fermeture motorisée,,USB-C | Apple Carplay | Bluetooth | Commande vocale,,,,16.1kWh/100 km,,,,,430nm0tr/min,,,,,,Disponible,,,,,Tactile | 14.9 pouces,Pare-chocs | Poignées de portes | Rétroviseurs,,Electrique,,À distance,Feux de jour | Avant | Arrières,Noir brillant,,Éléctrique,,5 ans (2+3),1448mm,12.3'' | Live Cockpit Professional | BMW Live Plus,En aluminium | 18'' | Bi-ton,,,,Triangle de présignalisation,,1852mm,,,4783mm,,,,,,1,5,5,1,,,,,LED,,,,,,340CH,,22CV,,,,,,Avec fonction freinage,Anti-éblouissement,Électriques | Rabattables | Dégivrants,Sensatec perforé,,Électriques | Fonction mémoire,Conducteur et passager,,,,,,,,,,,Velours,8.5heures,30minutes,,Ouvrant | Panoramique,,Propulsion,,190KM/H,Calorifuges,Avant,,Cuir | Multi-fonctions | Sport,En hauteur et en profondeur,470L,,,
bmw,i4 edrive40-pack-m#specs,279 900DTTTC,5.6s,,,Avant | Arrière,,,,Radar de recul | Radar avant | Caméra de recul | Parkassist | Park distance control,,Frontaux | Latéraux | Rideaux,,,,1 prise 12 V,,,,,,,,,,573km,Harman/Kardon | Commandes au volant,Shadow Line,,,81.1kWh,,,Démarrage mains libres,Automatique,,,,,Berline,,,M anthracite,Automatique | 3 zones,,Accès mains libres,Ouverture et fermeture motorisée,,USB-C | Apple Carplay | Bluetooth | Commande vocale,,,,16.1kWh/100 km,,,,,430nm0tr/min,,,,,Sport variable,Disponible,,,,,Tactile | 14.9 pouces,Pare-chocs | Poignées de portes | Rétroviseurs,,Electrique,,À distance,Feux de jour | Avant | Arrières,Inserts décoratifs M 'Carbon Fibre',,Éléctrique,Sport M,5 ans (2+3),1448mm,12.3'' | Live Cockpit Professional | BMW Live Plus,En aluminium | 19'' | Bi-ton,Pack Sport M,,,Triangle de présignalisation,,1852mm,,,4783mm,,,,,,1,5,5,1,,,,,BMW Laserlight,,,,,,340CH,,22CV,,,,,,Avec fonction freinage,Anti-éblouissement,Électriques | Rabattables | Dégivrants,Schwarz | Surpiqûre contrastée Bleue | Vernasca,,Électriques | Chauffants | Réglage lombaire | Fonction mémoire | Sport M,Conducteur et passager,,,,,,Adaptative,,,,Sensatec,Velours,8.5heures,30minutes,,Ouvrant | En verre,,Propulsion,,190KM/H,Calorifuges,Avant,,Cuir | Multi-fonctions | M | Sport,En hauteur et en profondeur,470L,,,
bmw,ix1 xdrive30#specs,216 900DTTTC,5.6s,,,Avant,,,,Radar de recul | Radar avant | Système de caméras 360 | Parkassist,,Frontaux | Latéraux | Rideaux,,,,1 prise 12 V,,,TCS,,,,AFU,,,474km,Commandes au volant,Alu satiné,,Alu satiné,64.8kWh,,,Démarrage mains libres,Automatique,,,,,SUV,,,,Automatique,,Accès mains libres,Ouverture et fermeture motorisée,,Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,,,,16.9kWh/100 km,,,,,494nm0tr/min,,,,,,Disponible,,,,,Tactile | 10.7 pouces | Curved Display,,,Electrique,,À distance,Feux de jour | Avant | Arrières,Noir brillant | Quarzsilber mat grainé,,Éléctrique,,5 ans (2+3),1642mm,10.25'' | BMW Live Plus,En aluminium | 18'' | Bi-ton,X-line,,,Triangle de présignalisation | Trousse de premiers secours,,1845mm,,,4500mm,,,,,,1,5,5,1,,,,,Adaptatifs | LED,,,,,,313CH,,8CV,,,,,,Adaptatif | Avec fonction freinage,Anti-éblouissement,Électriques | Rabattables,Sensatec perforé,,Conducteur à réglage électrique | Fonction mémoire | Sport,Conducteur et passager,,,,,,,,,,Luxury,,6.5heures,29minutes,,Ouvrant | Panoramique | En verre,,Intégrale,,180KM/H,Calorifuges,Avant/Arrière,,Cuir | Multi-fonctions,En hauteur et en profondeur,490L,,,
bmw,ix1 xdrive30-pack-m#specs,224 900DTTTC,5.6s,,,Avant,,,,Radar de recul | Radar avant | Système de caméras 360 | Parkassist,,Frontaux | Latéraux | Rideaux,,,,1 prise 12 V,,,TCS,,,,AFU,,,474km,Commandes au volant,Shadow Line,,M Shadow Line à haute brillance,64.8kWh,,,Démarrage mains libres,Automatique,,,,,SUV,,,M anthracite,Automatique,,Accès mains libres,Ouverture et fermeture motorisée,,Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,,,,16.9kWh/100 km,,,,,494nm0tr/min,,,,,,Disponible,,,,,Tactile | 10.7 pouces | Curved Display,,,Electrique,,À distance,Feux de jour | Avant | Arrières,Noir brillant | Quarzsilber mat grainé,,Éléctrique,,5 ans (2+3),1642mm,10.25'' | BMW Live Plus,En aluminium | 18'' | Bi-ton,Pack Sport M,,,Triangle de présignalisation | Trousse de premiers secours,,1845mm,,,4500mm,,,,,,1,5,5,1,,,,,Adaptatifs | LED,,,,,,313CH,,8CV,,,,,,Adaptatif | Avec fonction freinage,Anti-éblouissement,Électriques | Rabattables,Alcantara/Sensatec,,Conducteur à réglage électrique | Fonction mémoire | Sport,Conducteur et passager,,,,,,,,,,Luxury,,6.5heures,29minutes,,Ouvrant | Panoramique | En verre,,Intégrale,,180KM/H,Calorifuges,Avant/Arrière,,Cuir | Multi-fonctions | M | Sport,En hauteur et en profondeur,490L,,,
bmw,ix3 m-sport,284 900DTTTC,6.8s,,,Avant,,,,Radar de recul | Radar avant | Système de caméras 360 | Parkassist,,Frontaux | Latéraux | Genoux | Protège-tête,,,,1 prise 12 V,,,DTC | DSC,,,,AFU,,,461km,Harman/Kardon | Commandes au volant,Alu satiné,,M Shadow Line à haute brillance,73.9kWh,,,Démarrage mains libres,Automatique,,,,,SUV,,,M anthracite,Automatique,,Accès mains libres,Ouverture et fermeture motorisée,,Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil | Commande gestuelle,,,,17.6kWh/100 km,,,,,400nm0tr/min,,,,,Servotronic,Disponible,,,,,Tactile | 12.3 pouces,,,Electrique,,À distance,Feux de jour | Avant | Arrières,Noir brillant,,Éléctrique,,5 ans (2+3),1668mm,12.3'' | Live Cockpit Professional,En aluminium | 20'' | Bi-ton,Pack Sport M,,,Triangle de présignalisation | Trousse de premiers secours,,1891mm,,,4734mm,,,,,,1,5,5,1,,,,,Adaptatifs | LED,,,,,,286CH,,8CV,,,,,,Avec fonction freinage,Anti-éblouissement,Électriques | Rabattables,Cuir,,Conducteur à réglage électrique | Chauffants | Réglage lombaire | Fonction mémoire | Sport,Conducteur et passager,,,,,,,,,,Sensatec,Velours,8.25heures,31minutes,,Ouvrant | Panoramique | En verre,,Intégrale,,180KM/H,Calorifuges | Acoustiques,Avant/Arrière,,Cuir | Multi-fonctions | M | Sport,En hauteur et en profondeur,490L,,,
bmw,i5 edrive40-pack-m,333 200DTTTC,6s,,,Avant | Arrière,,,,Radar de recul | Radar avant | Caméra de recul | Parkassist,,Frontaux | Latéraux | Rideaux,,,,1 prise 12 V,,,,,3,,AFU,,,582km,Commandes au volant | Bowers & Wilkins,Alu satiné,,,83.9kWh,,,Démarrage mains libres,Automatique,,Iconic Glow,,,Berline,,,M anthracite,Automatique | 4 zones,,Accès mains libres,Ouverture et fermeture motorisée,,USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,,,,15.9kWh/100 km,,,,,430nm0tr/min,,,,,,Sur commande,,,,,Tactile | 14.9 pouces,Pare-chocs | Poignées de portes | Rétroviseurs,,Electrique,,À distance,Feux de jour | Avant | Arrières,CraftedClarity,,Éléctrique,,5 ans (2+3),1515mm,12.3'' | Live Cockpit Professional,En aluminium | 20'' | Bi-ton,Pack Sport M,,,Triangle de présignalisation | Trousse de premiers secours,,1900mm,,,5060mm,,,,,,1,5,4,,,,,,Adaptatifs | LED,,,,,,340CH,,N.C.CV,,,,,,Avec fonction freinage | Driving Assistant Plus,Anti-éblouissement,Électriques | Rabattables | Photosensibles | Avec clignotants intégrés,Cuir | Merino,Aluminium,Électriques | Chauffants | Ventilés | Réglage lombaire | Sport,Conducteur et passager,,,,,,,,,,,Velours,8.5heures,30minutes,,Ouvrant | Panoramique | En verre,Sport M,Propulsion,,193KM/H,Lunette et vitres arrières sur-teintées | Calorifuges,Avant/Arrière,,Cuir | M | Sport | Avec palettes,En hauteur et en profondeur,490L,,,
bmw,ix xdrive40,431 900DTTTC,6.2s,,,Avant | Arrière,,,,Radar de recul | Radar avant | Système de caméras 360 | Parkassist | Park distance control,,Frontaux | Latéraux | Protège-tête,,,,1 prise 12 V,,,DSC,,,,,,,406km,Harman/Kardon | Commandes au volant,Alu satiné,,,74.1kWh,,,Démarrage mains libres,Automatique,,,,,SUV,,,Anthracite,Automatique | 4 zones,,Accès mains libres,Ouverture et fermeture motorisée,,USB-C | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,,,,19.4kWh/100 km,,,,,630nm0tr/min,,,,,Servotronic,Disponible,,,,,Tactile | 14.9 pouces,Pare-chocs | Rétroviseurs,,Electrique,Soft close,À distance,Feux de jour | Avant | Arrières,Clear & Bold,,Éléctrique,,5 ans (2+3),1695mm,12.3'' | Live Cockpit Professional,En aluminium | 21'' | Bi-ton,Sport | Titanbronze,,,Triangle de présignalisation | Trousse de premiers secours,,1967mm,,,4953mm,,,,,,2,5,5,1,,,,,BMW Laserlight | LED,,,,,,326CH,,11CV,,,,,,Avec fonction freinage,Anti-éblouissement,Électriques | Rabattables,Cuir | Amido,,Électriques | Chauffants | Ventilés,Conducteur et passager,,,,,,Pneumatique | Adaptative,,,,,Velours,7.5heures,31minutes,,Ouvrant | Panoramique | Sky Lounge,,Intégrale,,200KM/H,Calorifuges,Avant,,Cuir | Multi-fonctions | Sport,En hauteur et en profondeur,500L,,,
byd,dolphin fwd,94 990DTTTC,10.9s,,,,,HHC,,Radar de recul | Système de caméras 360,,Frontaux | Latéraux | Rideaux,,,,,,,,,,,EBD | HBA |  Freinage automatique anti-collision | VDC,,405km,340km,6 haut-parleurs | Commandes au volant,,,,44.9kWh,,,Démarrage mains libres,Automatique,,,,,Compacte,,,,Automatique,,,,,3 USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale,,,,11kWh/100 km,,TPMS,,,180nm0tr/min,,,,,,Disponible,,,,,Tactile | 12.8 pouces | Rotatif,Pare-chocs | Poignées de portes | Rétroviseurs,,Electrique,,À distance,Feux de jour | Avant | Arrières,,,Éléctrique,,6 ans ou 150.000 km | Batterie garantie 8 ans,1570mm,"5""",En aluminium | 16'' | Bi-ton,,,,,,1770mm,,,4070mm,,,Sport | Eco,,,1,5,5,,,,,,LED,,,,,,95CH,,5CV,,,,,,,,Électriques | Dégivrants,Similicuir,,,Conducteur et passager,,,,,,,,CRBS,,,,5heures,31minutes,,,,Traction,,150KM/H,Lunette et vitres arrières sur-teintées,Avant/Arrière,,Similicuir | 3 branches | Multi-fonctions,En hauteur,345L,,1310L,
byd,king 1.5-l-dm-i,105 990DTTTC,7.9s,,,Avant | Arrière,,HHC,,Radar de recul | Radar avant | Caméra de recul,,Frontaux | Latéraux | Rideaux,,,,1 prise 12 V,,,TCS,,3,,EBD | HBA |  Freinage automatique anti-collision | VDC,,1175km,55km,Commandes au volant,Chrome,,,8.3kWh,,,Démarrage mains libres,Automatique,,Chromée,,,Berline,,,,Automatique | Ventilation arrière,,Démarrage à distance | Réglage de la température à distance,,,USB | Android Auto | 4 USB | Apple Carplay | Bluetooth | Commande vocale,,3.9L/100 km,,,,TPMS,,,130nm4500tr/min,316nm,1498CM³,,,Électrique,Disponible,,,,,Tactile | 12.8 pouces | Rotatif,Pare-chocs | Poignées de portes | Rétroviseurs,,Essence | Hybride rechargeable,,À distance,Feux de jour | Avant | Arrières | Clignotants à défilement,,,Éléctrique,,6 ans ou 150.000 km | Batterie garantie 8 ans,1495mm,"8.8""",En aluminium | 17'',,,Poches aumônières | Porte-lunettes,Triangle de présignalisation,,1837mm,,,4765mm,LED,,Normal | Sport | Eco,,4,,5,4,,,,,,LED,,,,,,187CH,,5CV,106CH,81CH,,,,,,Électriques | Rabattables | Dégivrants | Éclairage d'accueil à LED,Similicuir,,Conducteur à réglage électrique | 6 directions | Avec Appuie-tête intégrés,Conducteur,,,,,,,,,,,,,,,,,Traction,,185KM/H,Teintées,Avant/Arrière,,Similicuir | 3 branches | Multi-fonctions,En hauteur et en profondeur,450L,,,
byd,atto-3 bev,123 990DTTTC,7.3s,,,,,HHC,LKA,Radar de recul | Radar avant | Système de caméras 360 | Détection du trafic en marche arrière,,Frontaux | Latéraux | Rideaux,,,,1 prise 12 V,,,ESP | TCS,,3,,EBD | HBA |  Freinage automatique anti-collision | Alerte Risque Colision | VDC,,,420km,8 haut-parleurs | Commandes au volant,,,Aluminium,60.48kWh,,,Démarrage mains libres,Automatique,,,,,SUV,,,,Automatique | Ventilation arrière,,Accès mains libres | Démarrage à distance,,,2 USB | 2 USB-C | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,,,,14.9kWh/100 km,,TPMS,,,310nm0tr/min,,,,,,Disponible,,,,,Tactile | 12.8 pouces | Rotatif,Pare-chocs | Poignées de portes | Rétroviseurs,,Electrique,,À distance,Feux de jour | Avant | Arrières,,,Éléctrique | EPB,,6 ans ou 150.000 km | Batterie garantie 8 ans,1615mm,"5""",En aluminium | 18'' | Bi-ton,,,Poches aumônières,,,1875mm,,Intelligent,4455mm,LED,,Normal | Sport | Eco,,,1,5,5,,,,,Métallisée,LED,,,,,,204CH,,5CV,,,,,,Adaptatif,Anti-éblouissement,Électriques | Rabattables | Dégivrants,Similicuir,,Conducteur à réglage électrique | 6 directions,Conducteur,,,,,BSD,,,HDC,,,,5heures,30minutes,,Ouvrant | Panoramique,,Traction,,160KM/H,Lunette et vitres arrières sur-teintées,Avant/Arrière,,Similicuir | 3 branches | Multi-fonctions,En hauteur et en profondeur,440L,,,
byd,song-plus 1.5-l-dm-i,156 990DTTTC,8.3s,,,Avant | Arrière,,,,Radar de recul | Radar avant | Système de caméras 360 | Détection du trafic en marche arrière,,Frontaux | Latéraux | Rideaux,,,,,,,ESC,,3,,,,970km,90km,9 haut-parleurs | Commandes au volant,Chrome,,Aluminium,18.3kWh,,,Démarrage mains libres,Automatique,,,,,SUV,,,,Automatique | Bizone | Ventilation arrière,,Démarrage à distance | Réglage de la température à distance,Ouverture et fermeture motorisée,,2 USB | 2 USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | 1 fente pour carte SD | Chargeur de téléphone sans fil,,5.1L/100 km,,,,TPMS,,,220nm1600tr/min,300nm,1497CM³,,,,Disponible,,,,,Tactile | 12.8 pouces | Rotatif,Pare-chocs | Poignées de portes | Rétroviseurs,,Essence | Hybride rechargeable,,À distance,Feux de jour | Avant | Arrières,,,Éléctrique | EPB,,6 ans ou 150.000 km | Batterie garantie 8 ans,1670mm,12.3'',En aluminium | 19'',,,Poches aumônières | Porte-lunettes,Triangle de présignalisation | Extincteur,,1890mm,,,4775mm,LED | 31 Couleurs,,Normal | Sport | Eco,,4,,5,5,,,,,,LED,,,,,,265CH,,7CV,130CH,204CH,,,,Cruise control | Smart Cruise,Anti-éblouissement,Électriques | Avec clignotants intégrés,Similicuir,,Conducteur à réglage électrique | 6 directions | Avec Appuie-tête intégrés,Conducteur,,,,,BSD,,,,,,,,,,Ouvrant | Panoramique,,Traction,,180KM/H,Acoustiques,Avant/Arrière,,Similicuir | 3 branches | Multi-fonctions,En hauteur et en profondeur,552L,,,
byd,tang-ev bev,229 990DTTTC,4.9s,,,Avant | Arrière,,HHC,LKA,Radar de recul | Radar avant | Système de caméras 360,,Frontaux | Latéraux | Rideaux,,Rear Cross Traffic Monitor,,1 prise 12 V | Chargeur inversé (V2L),,,ESP | TCS,,3,,EBD | HBA | Système anti-collision avec détection des piétons |  Freinage automatique anti-collision | Alerte Risque Colision | VDC,,,520km,12 haut-parleurs | Commandes au volant,Chrome,,Aluminium,108.8kWh,,,Démarrage mains libres,Automatique,,,,,SUV,,,,Automatique | 3 zones | Ventilation arrière,,Accès mains libres | Démarrage à distance | Réglage de la température à distance,Ouverture et fermeture motorisée | Ouverture mains libres,,Android Auto | 4 USB | Apple Carplay | Bluetooth | Commande vocale | 1 fente pour carte SD | Chargeur de téléphone sans fil,,,,20.9kWh/100 km,,TPMS,,,680nm0tr/min,,,,,,Disponible,,,,,"Tactile | Rotatif | 15.6""",Pare-chocs | Rétroviseurs,,Electrique,,À distance,Feux de jour | Avant | Arrières,,,Éléctrique,,6 ans ou 150.000 km | Batterie garantie 8 ans,1745mm,12.3'',En aluminium | 21'' | Bi-ton,,,Porte-lunettes,Triangle de présignalisation,,1955mm,,,4970mm,LED | 31 Couleurs,,Confort | Sport | Eco,,,2,7,5,,,,,Métallisée,LED,,,,,,516CH,,9CV,,,,,,Adaptatif | Cruise control,Anti-éblouissement,Électriques | Rabattables | Dégivrants | Mémoire de position | Avec clignotants intégrés | Éclairage d'accueil à LED,Cuir,Métal,Électriques | 8 directions | Chauffants | Massants | Ventilés | Réglage lombaire | Fonction mémoire,Conducteur et passager,,,,,,,,HDC,,Cuir | Alcantara,,7.5heures,30minutes,,Ouvrant | Panoramique,,Intégrale,,190KM/H,Acoustiques | Athermiques,Avant/Arrière,,Cuir | Chauffant | Multi-fonctions,En hauteur et en profondeur,940L,,1655L,
changan,new-star 1.2-l,39 900DTTTC,N.C,,,,,,,,,Frontaux,,,,,,,,,,,,,,,,,,,,,,,Manuelle,,,,,Utilitaire,,620KG,,Manuelle,,,,,AUX,,7.4L/100 km,,,,,,,113nm4800tr/min,,1243CM³,,,EPS,Disponible,,,,,,,,Essence,,À distance,,,,,,1 an,1890mm,,14'',,,,,,1620mm,,,3980mm,,,,,4,,2,3 | 2 portes latérales coulissantes,5,,,,,,,,,,,92CH,,6CV,,,,,,,,,Tissu,,,,,,,,,,,,,,,,,,,,Propulsion,,120KM/H,,Avant,,,,,,,3.5m³
changan,star-truck-double-cabine 1.2-l,49 900DTTTC,N.C,,,,,,,,,Frontaux,,,,,,,,,,,,,,,,,,,,,,,Manuelle,,,,,Pick up,,965KG,,Manuelle,,,,,AUX,,7.4L/100 km,,,,,,,119nmN.Ctr/min,,1243CM³,,,,Disponible,,,,,,,,Essence,,,,,,,,1 an,1890mm,,14'',,,,,,1645mm,,,4660mm,,,,,4,,5,4,5,,,,,,,,,,,98CH,,7CV,,,,,,,,,Tissu,,,,,,,,,,,,,,,,,,,,Propulsion,,120KM/H,,Avant,,,,,,,
changan,hunter 1.9-l-turbo-diesel-4x4,123 046DTTTC,15.8s,,,Avant | Arrière,,HAC,,Radar de recul | Caméra de recul,,Frontaux | Latéraux,,,,1 prise 12 V,,,ESP,,,,EBD,,,,6 haut-parleurs | Commandes au volant,,,,,,,Démarrage mains libres,Manuelle,,Chromée,,,Pick up,,980KG,,Automatique | Ventilation arrière,,Accès mains libres,,,3 USB | Bluetooth,,8L/100 km,,,,,,,350nm1800tr/min,,1910CM³,,Arrière,,Disponible,,,,,Tactile | 10 pouces,Pare-chocs | Rétroviseurs,,Diesel,,À distance,Feux de jour,,,,,3 ans ou 100.000 KM,1835mm,,En aluminium | 17'',,,,,,1930mm,,,5330mm,,,,,4,,5,4,6,,,,,,,Chromées,,,,150CH,,6CV,,,,,,,Anti-éblouissement,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,Cuir,,Électriques | Réglage lombaire,Conducteur,,,,,,,,HDC,,,,,,,,,Intégrale,,171KM/H,,Avant/Arrière,,Cuir | Multi-fonctions,En hauteur et en profondeur,,,,
chery,tiggo-1x-populaire 1.0-l-turbo,34 068DTTTC,15.3s,,,Avant,,HAC,,Radar de recul,,Frontaux,,,,1 prise 12 V,,,ESP,,,,EBA | EBD,,,,4 haut-parleurs | Commandes au volant,,,Aluminium,,,,,Manuelle,,Chromée | Noire,,,SUV,,,,Manuelle,,,,,USB | Android Auto | Apple Carplay | Bluetooth | Mirrorlink,,5.9L/100 km,,,,,,,117nm1500tr/min,,998CM³,,,,Sous réserve d'acceptation du dossier par le ministère du commerce | En pré-commande,,,,,Tactile | 9 pouces,Poignées de portes | Rétroviseurs,,Essence,,À distance,Feux de jour | Arrières,,,,,3 ans ou 100.000 KM,1570mm,,En aluminium | 16'',,,,Triangle de présignalisation,,1760mm,,,4200mm,,,,,3,,5,5,5,Ecran TFT 3.5'',,,,,,,,,,70CH,,4CV,,,,,,,,Électriques | Avec clignotants intégrés,Tissu,,,Conducteur,,,,,,,,HDC,,,,,,,,,Traction,,170KM/H,,Avant/Arrière,,Multi-fonctions | à méplat,En hauteur,420L,,,
chery,tiggo-3x 1.0-l-turbo-cvt-luxury,66 990DTTTC,14.2s,,,Avant,,,,Radar de recul | Caméra de recul,,Frontaux | Latéraux,,,,,,,ESP,,,,EBA | EBD,,,,4 haut-parleurs | Commandes au volant,,,,,,,Démarrage mains libres,Automatique,,Chromée | Noire,,,SUV,,,,Manuelle,,Démarrage à distance | Accès mains libres,,,USB | Android Auto | Apple Carplay | Bluetooth,,5.9L/100 km,,,,,,,150nm1500tr/min,,998CM³,,,Électrique,Sur arrivage,,,,,Tactile | 9 pouces,Poignées de portes,,Essence,,À distance,Feux de jour,Aspect Carbone,,,,5 ans ou 100000 km,1570mm,,En aluminium | 16'',,,,,,1760mm,,,4200mm,,,,,3,,5,5,9,Ecran TFT 3.5'',,,Métallisée,,,,,,,102CH,,6CV,,,,,,,,Électriques | Rabattables | Avec clignotants intégrés,Cuir/Tissu,,,Conducteur,,,,,,,,,,,,,,,Ouvrant,,Traction,,170KM/H,,Avant/Arrière,,Cuir | Multi-fonctions,En hauteur,420L,,,
chery,arrizo-5 1.5-l-bvm#specs,63 490DTTTC,12.4s,,,Avant | Arrière,,,,Radar de recul | Caméra de recul,,Frontaux | Latéraux,,,,,,,ESP | ASR | TCS,,3,,EBD,,,,4 haut-parleurs | Commandes au volant,,,,,,,,Manuelle,,Chromée,,,Berline,,,,Automatique,,,,,2 USB | Android Auto | Apple Carplay | Bluetooth,N.C,6.4L/100 km,N.C,,,TPMS,,,141nm3800tr/min,,1499CM³,,,,Disponible,,,,,Tactile | 8 pouces,Pare-chocs | Poignées de portes | Rétroviseurs,,Essence,,À distance,Feux de jour | Avant | Arrières,,,,,5 ans ou 150000 km,1482mm,,En aluminium | 16'',,,,,,1825mm,,,4690mm,,,,,4,,5,4,5,,,,Métallisée,,,,,,,115CH,,7CV,,,,,,,,Électriques | Avec clignotants intégrés,Similicuir,,,Conducteur et passager,,,,,,,,,,,,,,,,,Traction,,180KM/H,,Avant/Arrière,,3 branches | Multi-fonctions | à méplat,En hauteur,430L,,,
chery,arrizo-5 1.5-l-cvt-luxury#specs,71 490DTTTC,12.4s,,,Avant | Arrière,,Autohold,,Radar de recul | Caméra de recul,,Frontaux | Latéraux,,,,,,,ESP | ASR | TCS,,3,,EBD,,,,6 haut-parleurs | Commandes au volant,,,,,,,,Automatique,,Chromée,,,Berline,,,,Automatique | Ventilation arrière,,,,,2 USB | Android Auto | Apple Carplay | Bluetooth,N.C,6.4L/100 km,N.C,,,TPMS,,,141nm3800tr/min,,1499CM³,,,,Disponible,,,,,Tactile | 8 pouces,Pare-chocs | Poignées de portes | Rétroviseurs,,Essence,,À distance,Feux de jour | Avant | Arrières,,,Éléctrique,,5 ans ou 150000 km,1482mm,,En aluminium | 17'',,,,,,1825mm,,,4690mm,,,Sport | Eco,,4,,5,4,7,Ecran TFT 7'',,,Métallisée,,,,,,,115CH,,7CV,,,,,,,,Électriques | Rabattables | Avec clignotants intégrés,Similicuir,,Conducteur à réglage électrique | 6 directions,Conducteur et passager,,,,,,,,,,,,,,,Ouvrant,,Traction,,180KM/H,,Avant/Arrière,,3 branches | Multi-fonctions | à méplat,En hauteur,430L,,,
