Marque,Modèle,year,road,boite,horsepower,fuel,nbre_portes,cylindrée,transmission,Prix
Mercedes-Benz,Classe C AMG,2023,20 000 km,Automatique,9 cv,Essence,4,1400,Traction,255
Mercedes-Benz,CLA Kit Amg 200,2020,150 000 km,Manuelle,9 cv,Essence,5,1000,Traction,129
Seat,Ibiza Xcellence,2021,68 000 km,Manuelle,6 cv,Essence,5,1198,Traction,62
KIA,Rio 5p SX,2020,70 000 km,Manuelle,5 cv,Essence,5,1598,Traction,57
MG,ZS Luxury,2022,20 000 km,Automatique,7 cv,Essence,4,999,Traction,72
Chery,Tiggo 7 Pro,2024,0 km,Automatique,9 cv,Essence,4,1500,Traction,101
Audi,Q3 BVA,2023,3 000 km,Automatique,9 cv,Essence,5,1499,Traction,165
Peugeot,408 GT,2024,10 000 km,Automatique,11 cv,Essence,5,1136,Traction,155
BMW,Série 6 Face Lift,2009,190 000 km,Automatique,17 cv,Essence,5,2500,Traction,85
Land,Rover Range Rover Sport HSE Dynamic,2016,300 000 km,Automatique,19 cv,Diesel,5,3000,Traction,189
KIA,Rio 5p GT-Line,2021,70 000 km,Manuelle,5 cv,Essence,4,1193,Traction,62
KIA,Sportage GT-Line,2024,15 000 km,Automatique,7 cv,Hybride,5,1499,Traction,188
Mercedes-Benz,GLA 250e Pack AMG,2023,26 000 km,Automatique,8 cv,Hybride,3,4000,Traction,225
Mahindra,Pick-up SC,2021,120 000 km,Manuelle,7 cv,Diesel,,,Traction,39
Peugeot,3008,2020,112 000 km,Automatique,7 cv,Essence,5,1993,Traction,69
KIA,Rio 5p GT-Line,2023,9 000 km,Manuelle,5 cv,Essence,5,1398,Traction,73
Mercedes-Benz,Classe C Pack AMG Pack night,2019,120 000 km,Automatique,10 cv,Hybride,5,1200,Traction,152
Peugeot,3008 GT GT-line,2020,125 000 km,Automatique,6 cv,Essence,2,2000,Traction,89
MG,HS Luxury,2020,87 000 km,Automatique,9 cv,Essence,4,1200,Traction,77
Mercedes-Benz,GLA AMG,2021,90 000 km,Automatique,9 cv,Essence,5,1499,Traction,173
BMW,Série 4 Coupé 420i,2015,180 000 km,Automatique,10 cv,Essence,5,1400,Traction,87
Chery,Tiggo 7 Pro,2022,40 000 km,Automatique,9 cv,Essence,5,1000,Traction,88
Suzuki,Jimny,2023,20 000 km,Automatique,6 cv,Essence,5,1999,Traction,98
Mercedes-Benz,CLA Kit AMG,2014,124 000 km,Automatique,9 cv,Essence,4,1595,Traction,83
Citroën,C3 Shine,2018,88 000 km,Manuelle,4 cv,Essence,5,1300,Traction,37
Mercedes-Benz,Classe C coupé AMG,2012,200 000 km,Automatique,9 cv,Essence,5,2996,Traction,63
Renault,Clio 4,2021,120 000 km,Manuelle,5 cv,Essence,5,1300,Traction,45
Mini,3 portes One,2009,200 000 km,Manuelle,5 cv,Essence,5,1599,Traction,29
Hyundai,Tucson High Grade,2023,19 000 km,Automatique,9 cv,Essence,5,2925,Traction,129
Nissan,Juke Tekna,2021,53 000 km,Automatique,6 cv,Essence,5,999,Traction,87
Jeep,Renegade,2021,88 000 km,Automatique,8 cv,Essence,2,1798,Traction,88
Mercedes-Benz,Classe C AMG,2019,120 000 km,Automatique,10 cv,Hybride,4,1998,Traction,152
Ford,Mondeo Hybride,2020,34 000 km,Automatique,7 cv,Hybride,5,1600,Traction,109
Land,Rover Range Rover Evoque,2018,145 000 km,Automatique,8 cv,Diesel,5,1190,Traction,120
Volkswagen,Passat,2016,160 000 km,Manuelle,6 cv,Essence,4,1999,Traction,59
Haval,H6,2022,16 000 km,Automatique,8 cv,Essence,2,1600,Traction,117
Haval,H6 Luxury,2021,55 000 km,Automatique,9 cv,Essence,4,2499,Traction,85
Volkswagen,Golf 8 1.4,2022,40 000 km,Automatique,6 cv,Essence,4,2500,Traction,105
Jaguar,F-Pace R_Dynamic,2017,165 000 km,Automatique,10 cv,Diesel,5,1200,Traction,179
Renault,Kadjar,2018,140 000 km,Automatique,7 cv,Essence,4,3000,Traction,70
Toyota,Corolla,2022,24 000 km,Automatique,6 cv,Essence,5,1998,Traction,79
Peugeot,308,2020,128 000 km,Manuelle,6 cv,Essence,5,1197,Traction,47
Mercedes-Benz,Classe C coupé AMG,2018,130 000 km,Automatique,8 cv,Essence,4,899,Traction,167
Citroën,C3 Shine,2020,45 000 km,Manuelle,4 cv,Essence,4,1995,Traction,47
Ford,Focus Titanium,2015,200 000 km,Manuelle,6 cv,Essence,5,2143,Traction,40
Porsche,Panamera,2011,82 000 km,Automatique,20 cv,Essence,4,1600,Traction,178
KIA,Seltos,2021,130 000 km,Automatique,8 cv,Essence,4,4000,Traction,89
Seat,Ibiza FR,2023,40 000 km,Automatique,6 cv,Essence,4,1600,Propulsion,81
Alfa,Romeo Giulietta,2019,37 000 km,Automatique,7 cv,Essence,5,1500,Traction,77
Land,Rover Discovery R-DYNAMIC,2020,87 000 km,Automatique,8 cv,Diesel,5,2000,Traction,235
Volkswagen,Golf 7 Confortline,2013,190 000 km,Automatique,6 cv,Essence,5,1598,Traction,49
Renault,Megane 4 Diesel,2020,125 000 km,Manuelle,5 cv,Diesel,4,1500,Traction,64
KIA,Rio 5p GT-Line,2021,60 000 km,Manuelle,5 cv,Essence,5,1198,Traction,65
Fiat,Fiorino,2021,120 000 km,Manuelle,5 cv,Diesel,4,2000,Traction,35
Dacia,Duster Techroad,2020,35 000 km,Manuelle,6 cv,Essence,5,1499,Traction,75
BMW,Série 5 530e Xdrive Pack m,2021,50 000 km,Automatique,10 cv,Hybride,4,2000,Traction,278
BMW,Série 4 Gran Coupé 418 Luxury,2016,133 000 km,Automatique,7 cv,Essence,5,1799,Traction,97
Volkswagen,Passat R-Line DSG,2022,40 000 km,Automatique,7 cv,Essence,,,Traction,125
Toyota,Hilux Double Cabine Gr Sport,2024,7 000 km,Manuelle,9 cv,Diesel,4,1498,Traction,290
Toyota,C-HR,2022,55 000 km,Automatique,6 cv,Essence,5,1566,Traction,91
Audi,A5 Sportback S-Line,2019,120 000 km,Automatique,8 cv,Essence,4,2000,Traction,109
Peugeot,2008,2021,100 000 km,Manuelle,6 cv,Diesel,5,1400,Traction,80
KIA,Rio 5p,2022,85 000 km,Manuelle,5 cv,Essence,3,1000,Traction,59
Honda,CR-V,2018,67 000 km,Automatique,11 cv,Essence,5,1000,Traction,91
Audi,Q5 S-line,2021,40 000 km,Automatique,11 cv,Diesel,,,Traction,295
KIA,Sportage Hybride,2021,114 000 km,Automatique,7 cv,Hybride,4,999,Traction,107
KIA,Sportage GT-Line,2021,19 000 km,Manuelle,7 cv,Diesel,2,1200,Traction,128
Dacia,Duster Techroad,2020,34 000 km,Manuelle,6 cv,Essence,5,1198,Traction,76
Mercedes-Benz,Classe S,2022,3 000 km,Automatique,16 cv,Hybride,5,2000,Traction,630
BMW,X5 Hybride Xdrive E45,2021,19 000 km,Automatique,15 cv,Hybride,4,1198,Traction,455
Hyundai,Tucson Hybride Xcellence,2022,120 000 km,Automatique,10 cv,Hybride,4,1991,Traction,138
BMW,Série 1 I Pack Sport,2019,200 000 km,Automatique,7 cv,Essence,,,Traction,75
KIA,Sportage GT-Line,2017,140 000 km,Automatique,10 cv,Diesel,5,1796,Traction,105
Mercedes-Benz,Classe C AMG,2023,50 000 km,Automatique,9 cv,Essence,5,1200,Traction,235
Jaguar,XE,2017,140 000 km,Automatique,9 cv,Diesel,5,899,Traction,120
Peugeot,Rifter,2020,95 000 km,Manuelle,7 cv,Diesel,5,1400,Traction,72
BMW,Série 7 740LI,2010,98 000 km,Automatique,23 cv,Essence,4,1398,Traction,110
Peugeot,Rifter 5 places,2020,95 000 km,Manuelle,7 cv,Diesel,5,1226,Traction,72
Land,Rover Range Rover Evoque Hybride,2019,50 000 km,Automatique,9 cv,Diesel,5,2899,Traction,187
Ford,Mondeo Hybride,2020,32 000 km,Automatique,7 cv,Hybride,2,1591,Traction,115
KIA,Rio 5p GT-Line,2021,64 000 km,Manuelle,5 cv,Essence,4,1598,Traction,64
Mercedes-Benz,GLC AMG,2017,115 000 km,Automatique,12 cv,Essence,4,1600,Traction,169
Mini,5 portes One,2016,78 000 km,Manuelle,6 cv,Essence,4,2000,Traction,57
Citroën,C3 Shine,2020,28 000 km,Manuelle,4 cv,Essence,5,1197,Traction,48
Audi,A3 Berline,2019,50 000 km,Automatique,6 cv,Essence,5,999,Traction,85
KIA,Sportage,2019,127 000 km,Automatique,8 cv,Essence,5,1500,Traction,83
Mercedes-Benz,GLA AMG,2023,12 000 km,Automatique,11 cv,Essence,5,4198,Traction,235
Audi,Q3,2017,95 000 km,Automatique,7 cv,Essence,5,1000,Traction,95
Mercedes-Benz,GLB 200 d,2021,111 000 km,Automatique,9 cv,Diesel,,,Traction,210
Audi,A4 Face_lift,2016,143 000 km,Automatique,7 cv,Essence,5,1400,Traction,58
Land,Rover Range Rover Evoque Face_lift,2016,170 000 km,Automatique,15 cv,Essence,5,999,Traction,95
BMW,Série 1 Pack M,2020,40 000 km,Automatique,7 cv,Essence,3,999,Traction,135
Land,Rover Range Rover Evoque Hybride,2019,40 000 km,Automatique,9 cv,Diesel,5,1200,Traction,195
Haval,H6 Luxury,2020,120 000 km,Automatique,9 cv,Essence,5,1600,Traction,79
Iveco,Daily Simple Cabine,2022,40 000 km,Manuelle,10 cv,Diesel,4,1998,Propulsion,105
Land,Rover Discovery Sport,2017,128 000 km,Automatique,8 cv,Diesel,5,1611,Traction,128
Haval,H6 Luxury,2021,40 000 km,Automatique,9 cv,Essence,4,1998,Traction,90
KIA,Sportage Hybride,2020,140 000 km,Automatique,7 cv,Hybride,4,1498,Traction,98
KIA,Sportage,2019,125 000 km,Automatique,8 cv,Essence,,,Traction,85
Hyundai,Tucson Hybride,2021,80 000 km,Automatique,7 cv,Hybride,5,1999,Traction,137
Audi,Q5 QUATTRO 40 TDI,2019,170 000 km,Automatique,12 cv,Diesel,4,2000,Traction,165
Fiat,Panda City Cross,2020,52 000 km,Manuelle,4 cv,Essence,4,1498,Traction,43
Volkswagen,Golf 6 Match,2012,240 000 km,Manuelle,6 cv,Diesel,4,1598,Traction,45
Ford,Ranger Raptor,2022,100 000 km,Automatique,7 cv,Diesel,3,1200,Traction,228
BMW,Série 4 Coupé Pack M,2021,140 000 km,Automatique,7 cv,Essence,5,999,Traction,130
Mercedes-Benz,Classe B,2014,100 000 km,Manuelle,7 cv,Essence,4,1498,Traction,48
MG,ZS Luxury,2022,80 000 km,Automatique,7 cv,Essence,5,3000,Traction,75
Land,Rover Range Rover Evoque Hybride,2019,60 000 km,Automatique,8 cv,Diesel,4,1599,Traction,210
Renault,Kadjar,2019,70 000 km,Manuelle,7 cv,Essence,4,1200,Traction,68
Mazda,3 Sky active,2017,103 000 km,Manuelle,6 cv,Essence,4,1200,Traction,56
Audi,Q8 S_Line,2021,16 000 km,Automatique,23 cv,Essence,5,3200,Traction,398
Mercedes-Benz,Classe C coupé AMG,2019,50 000 km,Automatique,9 cv,Essence,4,1600,Traction,173
MG,ZS,2022,35 000 km,Manuelle,7 cv,Essence,5,1599,Traction,78
Suzuki,Baleno,2017,160 000 km,Automatique,5 cv,Essence,4,1332,Traction,40
KIA,Sportage,2019,69 000 km,Automatique,8 cv,Essence,5,1200,Traction,95
Ford,Kuga,2017,100 000 km,Manuelle,8 cv,Essence,3,899,Traction,69
Mercedes-Benz,CLS AMG,2011,160 000 km,Automatique,11 cv,Diesel,5,1496,Traction,119
Mercedes-Benz,GLA 180 Pack AMG,2022,40 000 km,Automatique,7 cv,Essence,4,5555,Traction,185
Seat,Arona,2021,26 000 km,Manuelle,6 cv,Essence,4,2998,Traction,73
Toyota,Corolla,2021,90 000 km,Automatique,6 cv,Essence,4,4244,Traction,71
Haval,H6 Luxury,2020,115 000 km,Automatique,9 cv,Essence,5,1400,Traction,79
Skoda,Superb Ambassador,2021,30 000 km,Automatique,8 cv,Essence,4,1200,Traction,125
MG,6,2021,22 000 km,Automatique,8 cv,Essence,5,1500,Traction,79
Mercedes-Benz,GLC Coupé AMG,2017,190 000 km,Automatique,9 cv,Diesel,5,1000,Traction,189
Mercedes-Benz,Classe C 180 elegance,2016,170 000 km,Automatique,8 cv,Essence,5,1197,Traction,89
Mercedes-Benz,GLC Coupé AMG,2020,69 000 km,Automatique,12 cv,Hybride,4,1300,Traction,278
Mercedes-Benz,Classe E 180,2018,90 000 km,Automatique,9 cv,Essence,5,1200,Traction,135
Ssangyong,Actyon Sports,2017,200 000 km,Manuelle,7 cv,Diesel,5,998,Traction,42
DS,3,2012,138 000 km,Automatique,6 cv,Essence,5,1300,Traction,35
Nissan,Qashqai,2011,147 000 km,Automatique,9 cv,Essence,4,1198,Traction,43
BMW,Série 5 Confort Luxury,2015,200 000 km,Automatique,10 cv,Essence,5,1500,Traction,90
Volkswagen,Passat R-Line,2019,100 000 km,Automatique,8 cv,Essence,5,1499,Traction,101
Land,Rover Discovery Sport,2017,160 000 km,Automatique,8 cv,Diesel,4,1198,Traction,125
Citroën,C3 Shine,2019,90 000 km,Manuelle,4 cv,Essence,4,1800,Traction,44
Volkswagen,Amarok,2012,370 000 km,Manuelle,7 cv,Diesel,5,1591,Traction,49
Mercedes-Benz,Classe E Business,2022,8 000 km,Automatique,9 cv,Essence,5,1800,Traction,291
Mini,3 portes one,2013,140 000 km,Manuelle,4 cv,Essence,4,1500,Traction,37
BMW,Série 1,2017,126 000 km,Manuelle,7 cv,Essence,4,1600,Traction,68
Toyota,Hilux Double Cabine 4*4,2024,3 000 km,Manuelle,8 cv,Essence,4,1499,Traction,231
Peugeot,2008 Allure,2022,34 000 km,Automatique,7 cv,Essence,4,1800,Traction,97
Mercedes-Benz,Classe A AMG,2022,20 000 km,Automatique,8 cv,Essence,5,1197,Traction,158
Volkswagen,Passat R-Line,2020,60 000 km,Automatique,8 cv,Essence,5,1395,Traction,106
Volkswagen,Tiguan,2018,60 000 km,Automatique,7 cv,Essence,5,1499,Traction,90
Mercedes-Benz,Classe C AMG,2014,160 000 km,Automatique,9 cv,Essence,5,1200,Traction,99
Chery,Tiggo 8 Pro,2022,80 000 km,Automatique,11 cv,Essence,4,1400,Traction,96
BYD,F3,2022,10 000 km,Manuelle,7 cv,Essence,5,1600,Traction,47
Citroën,C3 Shine,2019,58 000 km,Manuelle,5 cv,Essence,4,1500,Traction,44
BMW,Série 4 Coupé 420i Pack M,2015,160 000 km,Automatique,10 cv,Essence,5,1590,Traction,107
Audi,Q3 S-line,2017,100 000 km,Automatique,7 cv,Essence,2,1468,Traction,90
Volkswagen,Golf 8 United,2020,26 000 km,Manuelle,6 cv,Essence,5,1499,Traction,109
Peugeot,208,2020,60 000 km,Manuelle,4 cv,Essence,5,1600,Traction,35
Audi,A5 Cabriolet S-line,2010,120 000 km,Automatique,10 cv,Essence,5,1499,Traction,59
Honda,Accord,2022,11 000 km,Automatique,10 cv,Essence,4,999,Traction,135
Volkswagen,Golf 7,2019,40 000 km,Manuelle,5 cv,Essence,5,1499,Traction,74
KIA,Sportage,2020,40 000 km,Automatique,8 cv,Essence,5,1000,Traction,119
BMW,Série 2 Gran Coupé 218i,2022,21 000 km,Automatique,8 cv,Essence,4,1497,Traction,135
Fiat,Tipo 5 portes,2018,75 000 km,Manuelle,5 cv,Essence,5,1598,Traction,46
Haval,H6,2022,13 000 km,Automatique,8 cv,Essence,4,1999,Traction,150
Volkswagen,Golf 7 Smartline,2015,140 000 km,Automatique,5 cv,Essence,4,1660,Traction,52
Haval,H6 Luxury,2019,90 000 km,Automatique,9 cv,Essence,2,2800,Traction,78
Chevrolet,Cruze,2018,90 000 km,Manuelle,7 cv,Essence,5,1799,Traction,40
Volkswagen,Golf 7,2019,29 000 km,Manuelle,6 cv,Essence,4,2450,Traction,76
Mercedes-Benz,Classe E 200,2010,330 000 km,Automatique,10 cv,Essence,4,998,Traction,51
Mercedes-Benz,Classe E e220,2011,330 000 km,Automatique,9 cv,Diesel,5,2000,Traction,77
Volkswagen,Golf 8 R-Line,2021,40 000 km,Automatique,8 cv,Essence,4,1595,Traction,145
Mercedes-Benz,Classe C AMG,2023,16 000 km,Automatique,9 cv,Essence,5,1198,Traction,240
Dodge,RAM Rumble bee,2019,65 000 km,Automatique,18 cv,Essence,5,4395,Traction,212
Mercedes-Benz,CLA,2014,163 000 km,Automatique,7 cv,Essence,5,1499,Traction,81
Haval,H2 Luxury,2019,40 000 km,Automatique,9 cv,Essence,5,1600,Traction,69
Haval,H6 Luxury,2019,32 000 km,Automatique,9 cv,Essence,4,1498,Traction,86
Mercedes-Benz,CLA AMG,2021,30 000 km,Automatique,7 cv,Essence,4,1200,Traction,169
Mercedes-Benz,Classe A 180d,2019,50 000 km,Automatique,6 cv,Diesel,4,999,Traction,98
Volkswagen,Golf 7,2019,64 000 km,Automatique,6 cv,Essence,4,1998,Traction,74
Audi,A3 Sportback S-Line,2019,70 000 km,Automatique,7 cv,Essence,5,1395,Traction,95
Mercedes-Benz,Classe C AMG,2022,40 000 km,Automatique,9 cv,Essence,5,2143,Traction,205
DS,7 Crossback Grand Chic,2021,140 000 km,Automatique,10 cv,Essence,5,1200,Traction,105
Mercedes-Benz,Classe C AMG,2022,50 000 km,Automatique,9 cv,Essence,5,1400,Traction,264
Volkswagen,Golf 7 Join,2018,70 000 km,Automatique,6 cv,Essence,4,1600,Traction,84
Mercedes-Benz,CLA 220,2013,240 000 km,Automatique,9 cv,Diesel,2,1219,Traction,79
BMW,X6 Pack M,2008,270 000 km,Automatique,15 cv,Diesel,5,1000,Traction,110
Audi,A5 Cabriolet S-line,2010,120 000 km,Automatique,10 cv,Essence,5,1200,Traction,59
Seat,Leon Style,2020,65 000 km,Manuelle,6 cv,Essence,3,1999,Traction,73
Citroën,Berlingo Utilitaire,2018,170 000 km,Manuelle,5 cv,Diesel,5,1400,Traction,37
KIA,Sportage,2022,23 000 km,Automatique,10 cv,Essence,3,1300,Traction,143
Volkswagen,Golf 7,2019,180 000 km,Automatique,5 cv,Essence,5,1198,Traction,64
Mercedes-Benz,Classe S Executive,2008,170 000 km,Automatique,19 cv,Essence,4,900,Traction,78
Volkswagen,Tiguan Confortline,2020,33 000 km,Automatique,8 cv,Essence,5,999,Traction,128
Volkswagen,Golf 7 R-Line,2018,130 000 km,Manuelle,6 cv,Essence,2,2000,Traction,80
Hyundai,Kona,2021,30 000 km,Manuelle,6 cv,Hybride,4,1999,Traction,79
Seat,Leon FR,2022,70 000 km,Automatique,8 cv,Essence,5,1591,Traction,122
Hyundai,Grand i10,2022,30 000 km,Manuelle,5 cv,Essence,,,Traction,53
Peugeot,2008 GT_LINE,2021,30 000 km,Manuelle,7 cv,Essence,5,2000,Traction,92
Mercedes-Benz,Classe C coupé AMG,2019,40 000 km,Automatique,9 cv,Essence,5,1200,Traction,179
KIA,Sportage GT-Line,2021,120 000 km,Automatique,6 cv,Hybride,4,1700,Traction,119
BMW,Série 3 318i,2017,117 000 km,Automatique,7 cv,Essence,5,1800,Traction,88
Chery,Tiggo 2 Confort,2020,60 000 km,Manuelle,6 cv,Essence,4,1199,Traction,43
Haval,Jolion,2022,40 000 km,Automatique,9 cv,Essence,4,1800,Traction,87
Mercedes-Benz,Classe C AMG,2022,40 000 km,Automatique,9 cv,Essence,5,1993,Traction,208
Hyundai,Grand i10,2021,54 000 km,Automatique,5 cv,Essence,5,1998,Traction,53
Seat,Ibiza FR,2020,100 000 km,Automatique,6 cv,Essence,4,1124,Traction,68
Mercedes-Benz,CLA AMG,2020,20 000 km,Automatique,7 cv,Essence,4,2000,Traction,169
Seat,Ibiza FR,2020,50 000 km,Manuelle,6 cv,Essence,4,1498,Traction,67
Volkswagen,T-roc,2020,87 000 km,Manuelle,6 cv,Essence,5,1599,Traction,85
Mercedes-Benz,GLA AMG,2016,74 000 km,Automatique,8 cv,Essence,,,Traction,113
Mercedes-Benz,Classe C AMG,2014,170 000 km,Automatique,9 cv,Essence,5,1197,Traction,115
Audi,Q3 Sportback,2021,10 000 km,Automatique,8 cv,Essence,5,1500,Traction,188
Audi,Q5,2018,100 000 km,Automatique,11 cv,Diesel,4,1997,Traction,215
Volkswagen,Golf 8 R-Line,2021,70 000 km,Automatique,8 cv,Essence,5,1600,Traction,125
Peugeot,3008 GT-line,2017,260 000 km,Automatique,9 cv,Essence,4,999,Traction,77
Land,Rover Range Rover Velar R-Dynamic,2019,100 000 km,Automatique,19 cv,Diesel,5,999,Traction,350
Porsche,Panamera PLATINUM édition,2014,100 000 km,Automatique,20 cv,Essence,5,1199,Traction,255
Land,Rover Range Rover Velar R-Dynamic,2020,90 000 km,Automatique,11 cv,Essence,4,1197,Traction,295
Dongfeng,Forthing T5 EVO,2023,4 000 km,Automatique,9 cv,Essence,4,1900,Traction,182
Chery,Tiggo 3,2018,75 000 km,Manuelle,8 cv,Essence,4,1798,Traction,47
Audi,Q3,2017,77 000 km,Automatique,7 cv,Essence,5,1991,Traction,85
Renault,Kadjar Intens,2018,150 000 km,Automatique,7 cv,Essence,4,1497,Traction,66
Volkswagen,Golf 8 R-Line,2021,40 000 km,Automatique,8 cv,Essence,5,1000,Traction,155
Mercedes-Benz,Classe C AMG,2020,35 000 km,Automatique,6 cv,Hybride,4,1200,Propulsion,205
Volkswagen,Golf 7 Join,2019,120 000 km,Automatique,6 cv,Essence,5,1600,Traction,80
BMW,Série 4 Gran Coupé Luxury,2018,100 000 km,Automatique,7 cv,Essence,4,2998,Traction,99
Hyundai,Tucson,2023,24 000 km,Automatique,10 cv,Essence,3,2000,Traction,161
Hyundai,Tucson,2020,120 000 km,Automatique,8 cv,Essence,5,1599,Traction,87
BMW,Série 1 Pack sport,2020,70 000 km,Automatique,7 cv,Essence,4,3000,Traction,92
Fiat,Panda City Cross,2022,20 000 km,Manuelle,4 cv,Essence,4,1124,Traction,45
BMW,Série 4 Gran Coupé 418 PACK M,2017,110 000 km,Automatique,7 cv,Essence,4,1300,Traction,125
Mercedes-Benz,Classe E AMG,2011,135 000 km,Automatique,10 cv,Essence,5,1200,Traction,77
Mercedes-Benz,Classe C AMG,2022,80 000 km,Automatique,9 cv,Essence,4,1598,Traction,215
Dongfeng,SX3,2021,30 000 km,Manuelle,7 cv,Essence,2,2800,Traction,65
Volkswagen,Golf 8 United,2021,16 000 km,Manuelle,6 cv,Essence,4,1500,Traction,128
Mercedes-Benz,Classe A AMG,2022,15 000 km,Automatique,8 cv,Essence,5,1498,Traction,172
Mercedes-Benz,Classe C AMG,2019,80 000 km,Automatique,9 cv,Diesel,5,1398,Traction,148
MG,GS Luxe,2017,115 000 km,Automatique,9 cv,Essence,4,2000,Traction,62
Mitsubishi,ASX 4WD,2021,55 000 km,Automatique,9 cv,Essence,4,1000,Traction,122
Land,Rover Discovery,2017,130 000 km,Automatique,8 cv,Diesel,5,1200,Traction,126
Audi,A5 Sportback,2021,70 000 km,Automatique,8 cv,Essence,5,1199,Traction,185
BMW,Série 7 Individuel,2008,300 000 km,Automatique,22 cv,Essence,5,1599,Traction,45
Land,Rover Range Rover Sport,2014,160 000 km,Automatique,15 cv,Diesel,5,2925,Traction,245
BMW,Série 4 Coupé,2017,78 000 km,Automatique,7 cv,Essence,5,1500,Traction,110
MG,GS Luxe Plus,2017,100 000 km,Automatique,13 cv,Essence,5,3000,Traction,61
Peugeot,RCZ,2011,171 000 km,Manuelle,7 cv,Essence,4,1598,Traction,40
Land,Rover Discovery Sport,2016,94 000 km,Automatique,8 cv,Diesel,2,2500,Traction,118
Volkswagen,Amarok AWD,2016,180 000 km,Manuelle,7 cv,Diesel,5,1395,Intégrale,87
